b	家
xvra	胬
xvro	帑
xvyo	妘
xwto	妔
xwtu	妵
xwx.	辯
xwyo	妶
xwyi	妏
xyfo	始
xyqo	娇
xyq/	姢
zbbi	壱 笓
zbpa	筞
zbto	壳
zbso	売
zbvo	受
zbvi	管
zppa	箖
zpmu	箱
zps;	彩
zmba	筫
zmbo	欫
zmmu	篃
zmd;	卸
zmn/	算
zmje	笆
zmqo	篤
zmso	覓 筧
zmsu	殸
zmvi	乍
zfbo	欯
zffo	筥
zfzi	迼
zfvi	郆
zdfo	知
zdje	竾
zdyo	矨
zttu	筀
ztn/	箅
ztc.	等
znbe	篺
znfo	筘
zntu	爯
znl/	箉
zngi	笈
znqo	鴸 鷏
zns;	笡
zldo	刉
zlna	孚
zlgi	延
zlke	笠
zlhe	竻
zlzi	迄
zlc.	符
zlyi	筊
zgm.	簋
zgg;	筓
zgg.	筤
zgqo	笰
zgxa	笇
zgcu	镼
zgvo	爰
zkpi	箥
zkna	竽
zkg/	篊
zhbo	缼
zhb.	缽
zhfo	笘
zhfu	镻
zhd;	缷
zhto	箎
zhqo	缹
zhvo	笙
zhwa	缻
zjpa	筡
zjfo	答
zjd;	節
zxpa	篥
zxme	爭
zxfo	筎
zxna	筆 肆
zxke	笁
zxhe	笋
zxxo	嘦
zxzo	簟
zxvo	笯
zzda	笶
zzzo	壵
zcbe	貏
zcfo	笤
zcne	豽
zcg;	豻
zcg.	貇
zcju	豿
zcci	豺
zccu	貀
zcso	豹
zspa	筙 髤
zspi	髲
zsf,	髣
zsd;	笉
zsto	髠
zsg/	髸
zsqu	髷
zsq/	筲
zsxe	筜
zszi	迕
zsz.	鬒
zssi	笣
zsri	筍
zsvi	笏
zrdo	制
zrle	笒
zrg;	筸
zrg.	篒
zrke	笪
zrw.	复
zvqi	笺
zvq/	箐
zvso	笎
zwfo	笿
zwto	笐
zwn/	筭
zwje	笀
zwvi	笗
zybe	簲
zyfo	笞
zyda	奚
zyn/	笲
zyqi	笔
zyyi	笅
cbba	茓
cbbi	芘
cbpa	荣
cbtu	茔 蒬
cbno	莺
cbgu	蓉
cbke	苎
cbho	荧
cbj.	蓥
cbxo	荌
cbzu	萣
cbco	芬
cbvi	菅
cbw.	蔽
cppa	菻
cpmu	厢 葙
cpfo	莕
cptu	荰
cmbi	茈
cmmu	葿
cmn/	萛
cmje	芭
cmso	莧
cfbo	欩
cfbi	厑
cffo	莒
cfdo	刟
cfd;	卲
cfne	莴
cfla	蕜
cfke	韮
cfqi	咸
cfzi	迢
cfzu	莡
cfsi	巶
cfvi	邵
cfwe	菋
cfyo	茧
cdbo	茨
cdpa	粜
cddo	茢
cdki	荓
cdx/	莌
cdzi	荙
cdsi	厍
ctbo	莰
cttu	厓 茥
ctno	鹋
ctla	葸
ctgi	压
ctja	羐
cnbo	厥
cnfo	苘
cnfu	荴
cnda	英
cntu	苒
cnna	苚
cngi	芨
cnqo	蔦 鳫 鳭
cns;	苴
cnya	菗
cnye	蒴
clbi	花
clpa	茠
clda	芵
cldo	莂
cltu	薼
clt;	蒥
clna	芓
clno	𬟁
clni	芿
clke	苙
clha	苮
clhe	历 艻
clje	厄
clqo	藨
clqi	成
clq;	茯
clzo	茌
clc.	苻
clri	蓍
clvi	芢
clwo	萑 雈
clyi	茭
cgbi	苨
cgfo	萵
cgga	蓏
cggo	芦
cgg.	莨
cgqo	茀
cgqi	戍
cgq/	蓇
cgxa	芹 苄
cgcu	䓛
cgri	厝
cgyo	苰
ckpa	莯
ckpi	菠
ckma	鿊
ckme	厅 艼
ckdo	荆 荊
ckna	芋
ckne	苪
ckg/	葓
ckho	炗
ckh;	茸
ckjo	厉
ckje	世
ckzo	厙 莗
cksu	莈
ckro	芾
chfo	苫
chfu	苵
chto	萀
chle	艽
chho	菼
chqi	厇 烕
chzo	䓬
chsi	芊
chri	苩
chvo	苼
cjpa	荼
cjfo	荅
cjdo	葪
cjd;	莭
cjgi	芕
cjja	萏
cjso	萖
cjr.	萸
cjvi	厘 荲
cjw.	敬
cqfo	若
cqn/	莽
cqja	厣
cqco	苆
cqvo	苃
cxfo	茹
cxd;	茚
cxna	茟
cxhe	芛
cxje	芪
cxqi	威
cxxo	葽
cxzo	蕈
cxc.	荨
cxvi	莤
czpa	菜
czg/	蕻
czha	厒
czja	蓞
czxo	荽
ccfo	苕
ccqi	茂
ccco	刕
ccvi	苷
csba	其
csfo	苦
cst;	菑
csq/	莦
csxo	茮
cssi	苞
csri	荀
csvo	芰
csvi	芴
csw.	荍
csyo	芶
crbi	芲
crpa	茶 菒 菓
crm.	蒀
crda	莫
crne	萬
crla	荵
crle	芩
crqo	芥
crxo	苶
crc.	莳
crri	菖
crr.	苁
crye	萌
cryi	茰
cvpa	某
cvd;	苇
cvgi	芆
cvhe	芗
cvje	芌
cvq/	菁
cvxo	祟
cvx.	薜
cvso	芫
cvvi	邯 菛
cvw.	厫 蔜
cvyo	芸
cvye	荫
cwfo	茖
cwto	苀
cwje	芒
cwsu	蔎
cwvi	苳
cwyi	芠
cyfo	苔
cydo	苅
cyt;	蕾
cyju	葋
cyqo	荞
cyqi	芼
cyvo	菣
cyyo	茲
cyye	萠
sbgu	愹
sbx/	悅
sbso	忱
sbri	恉
sbvi	悺
sbyo	忪
sppa	惏
sppi	耚
spgi	怵
spvi	耜
smf,	愣
smso	悓 覚
smsi	泶
sfpa	棠
sfme	忡
sffo	営
sftu	堂
sft;	當
sfna	掌
sfno	鸪
sfla	怘
sfq/	悁
sfx.	辜
sfso	党
sfro	常
sfwa	瓳 瓽
sfw,	悜
sfw.	故
sfyo	蛍
sfye	胡
sdpa	匊 牀
sdfo	𬒈
sdna	怑
sdgi	忲
sdki	恲
sdje	忚
sdq;	狀
sdxo	妝
sdx/	悦
sdzo	壯
stna	鼡
stla	愢
stja	畞
stc.	恃
styo	怯
snfo	尚
snda	怏
sngi	忣
snqo	鴬
sns;	直 怚
slpa	恘
slda	快
sltu	忸
slna	学
slgi	廵
slhe	労 忇
slri	愭
slvi	畅
slwo	惟
slyi	恔
sgbi	怩
sgg.	悢
sgqo	怫
sgq/	愲
sgxa	忻 忭
sgri	惜
skba	兴
skma	怔
skme	忊
skne	怲
skje	民
skso	光
shbe	猈
shpa	狇
shpi	狓
shma	犸
shm.	恤
shfo	怗
shfe	猅
shfu	怢
sht/	狪
shlo	狫
shle	勼
shga	狐
shgi	匁
shg;	犴
shg,	犷
shg.	狠
shho	狄 惔
shja	狎
shji	恺
shju	狗
shj/	猄
shq;	犾
shzo	悼
shci	犲
shc.	寿
shso	犳
shsi	忏
shri	怕
shvo	性
shvi	邦
shwo	狺
shw;	犱
shw,	狂
sjpa	悇
sjfo	恰 匌
sjgi	匇
sjke	鲎
sjja	惂
sjxe	㤘
sjsu	匓
sjvi	悝
sqdo	削
sqho	恢
sqju	耇
sqzi	逍
sqro	怖
sqri	者
sxpa	慄
sxpu	敊
sxdo	剋
sxje	忯
sxzo	憛
sxc.	尅
sxsi	兙
sxvo	叔 怓
szfo	恄
szle	忔
szha	匋
szja	慆
szje	乹
szsi	忤
szr.	倝
szye	朝
scpa	桒
scfo	怊
scke	卋
scq;	恹
sczo	愺
ssfo	怙
ssdo	刨
ssg/	巽
ssqo	炰
ssq/	悄
sssi	怉
ssri	恂
ssvo	忮
srpa	巢 巣 惈
srm.	愠
srna	奉
srle	忴
srg;	悍
srke	怛
srja	舂
srje	匃
srj.	銞
srj/	憬
srqo	忦
srq/	脊
srzi	迿
srzu	惿
srsi	単
srri	春
srvi	郇
svdo	刎
svtu	怪
svna	怿
svla	忽
svgi	匆
svq/	情
svso	忨
svri	曶
svvi	𨙸
svw.	慠
svyo	尝 忶
swfo	恪
swto	忼
swje	忙 匄
swyo	怰
swyi	忟
syfo	怡
syne	匈 忷
rbbi	昆
rbxo	晏
rbco	帉 昐
rbso	帎
rbyo	昖
rppa	晽
rppu	敤
rmje	帊
rmso	晛
rmsi	氽
rmvo	曼
rdki	帡
rdqo	昦
rdx/	帨
rdsi	伞
rdri	帞
rtfo	舎
rttu	晆
rtc.	時
rnda	映
rnla	愚
rngi	昅
rnzi	遇
rlbo	欦
rlfo	含
rlla	念
rlgi	令
rlke	昱
rlje	仓
rlvi	旸
rlwo	帷
rlyi	晈
rgbi	昵
rgfo	舍
rggo	昈
rgg.	㫰
rgqo	昲
rgxa	昕
rgsi	畢
rgwo	謈
rgyo	昿
rkma	昰
rkme	帄
rkda	昊
rkna	旴
rkne	昞 昺
rkro	昁
rhfo	帖
rhfu	帙 昳
rhn/	昇
rhle	旯
rhke	显
rhho	晱
rhzo	晫
rhri	帕
rhvo	星 甠
rjbo	飲
rjbi	飶
rjfo	帢
rjf;	飯
rjto	飢
rjt/	餇
rjg;	飦
rjqo	煦
rjx,	餉
rjcu	飿
rjso	晲
rjs;	影
rjr.	飤
rjyo	飫
rqgi	曵
rqq;	猒
rxke	仝
rxzo	曋
rzbi	匙
rzja	幍
rzzi	遈
rzsi	旿
rcfo	昭
rcr.	昃
rsd;	昀
rsq/	帩
rsvi	易 昒
rrtu	坐
rrla	怂
rrle	昑
rrg;	晘
rrke	丛
rrho	焸
rrj/	幜 暻
rrs;	昣
rrri	晶 晿
rrr.	众
rvd;	帏 𬀩
rvq/	晴
rvxo	佘
rvyo	会 昙
rwvi	昸
rwyo	昡
rwyi	旻 旼
rym.	盟
ryn/	昪
ryho	焽
vbbi	阰
vmba	責
vmso	覌
vmsi	阥
vftu	埅
vdje	阤
vdzi	违
vdsi	阵
vdri	陌
vdr.	韧
vtzu	陡
vtyo	阹
vnne	陆
vnqo	隝 鳮
vns;	阻
vns,	靑
vnr.	责
vlhe	劝 阞
vlc.	附
vlsi	阠
vlwo	难 陮
vkma	阷
vkfe	绯
vkf,	纺
vkto	绦
vkt;	细
vkne	纳 陃
vkl.	纶
vkge	缂
vkgu	绤
vkg,	纩
vkji	纪
vkj/	𫟅
vkzo	陣
vkzi	织
vkz.	缜
vkcu	绌
vkc;	𬘓
vkc.	纣
vkso	约 阢
vksu	纠
vks.	绅
vkr.	纫
vkw;	纨
vhfo	阽
vhn/	阩
vhji	𬮿
vhsi	阡
vjpa	除
vjgi	专
vjja	陷
vjzi	迃
vjso	𨺙
vqm.	盏
vqdo	刬
vqtu	坓
vqno	䴖
vqgi	丼
vqj;	靓
vqqi	靔
vqq/	陏
vqzi	进
vqvi	郬
vxpa	檗
vxtu	壁 陻
vxna	擘
vxno	䴙
vxla	憵
vxj.	鐾
vxq/	臂
vxxo	嬖
vxzi	避
vxco	劈
vxro	幦
vxwa	甓
vxwo	譬
vzm.	监
vzle	阣
vzj;	览
vzj.	鉴
vzri	临
vcla	怼
vsdo	刓
vstu	坖
vsle	乧
vsq/	陗
vszi	远
vsvi	邧
vrtu	坠 陧
vrne	隅
vrqo	阶
vrzu	隄
vrz,	隂
vvbi	閟
vvpa	閑
vvfo	問
vvf,	閍
vvtu	坚
vvla	悶
vvg;	閈
vvg/	閧
vvke	丝 閂
vvki	開
vvha	閊
vvho	焛
vvhe	閁
vvja	閘 閰
vvqo	阱
vvq/	肾
vvxa	閇
vvxo	际
vvxi	閪
vvx.	隦
vvz.	闐
vvci	閉
vvso	阮
vvsi	阧
vvs;	閆
vvri	間
vvr.	閃 閄
vvvo	叒
vvwo	誾
vvw,	閏
vvw.	隞
vvye	閒
vwma	骜
vwfo	嗸
vwto	阬
vwna	摮
vwha	嶅
vwj.	鏊
vwqo	熬 隖
vwq;	獒
vwxo	嫯
vwzi	遨
vwwo	謷
vygi	戏
vyxo	素
vyzi	运
vyso	阭
wbbi	玭
wbm.	謐
wbto	亮
wbgu	瑢
wbx/	說
wbzu	琔 諚
wbco	玢 瓰 訜
wbso	訦
wbri	詣
wbvi	琯
wbyo	訟 玜
wppa	琳 諃
wpgi	訹
wmba	珼
wmbi	玼 訿
wmmu	瑂
wmgi	处 訃
wmje	鿱
wmqo	瑪
wmso	現 誢
wfme	訲
wfq/	琄
wfzu	珿
wfw,	珵
wfw.	敋
wdpa	夈 詸
wdna	詊
wdki	誁
wdje	訑
wdx/	説
wdri	瓸
wdw,	班
wtdi	珟
wttu	珪 詿
wtla	惫 諰 𠅤
wtja	畝
wtq/	謂
wtzi	迒 迬
wtc.	詩
wtsu	殶
wtr.	畒
wtvi	邟
wtyo	珐 畆 詓
wnfo	高 詗
wnda	詇
wntu	珃
wngi	訯
wnqo	鳿
wns;	詛 珇
wnwo	玬
wlbi	訛
wlme	亨
wlda	訣 玦
wlt;	瑠
wlna	享
wlhe	务 玏
wlxo	𬍛
wlc.	詂
wlsi	訊
wlvi	玚
wlwo	誰 琟
wlw.	夜
wlyi	珓 詨
wgme	訠
wgfo	諣
wggi	訳
wgg;	詽
wgg.	琅 誏
wgxa	玣 訢
wgx.	謘
wgcu	誳
wgri	諎
wkma	証
wkme	訂 玎
wkna	玗 訏
wkh;	珥 誀
whpa	栾 訸
whmu	詯
whfo	玷 詀
whfu	詄
whda	奕
whto	琥 諕
whna	挛
whno	鸾
whn/	弈
whla	恋
whle	訅
whgi	亪
whg/	弯
whha	峦
whho	談 琰
whj.	銮
whqi	託
whxo	娈
whxe	謔
whzo	琸
whzi	迹
whsi	瓩
whra	脔
whro	帟
whri	珀
whvo	变 珄
whw.	変
whye	珘
wjpa	杗
wjmu	盲
wjfo	珨 詥
wjla	忘 誋
wjh,	巟
wjja	諂
wjq/	肓
wjxo	妄 珎
wjso	誽
wjr.	諛
wjvi	理 邙 瓼
wqbo	歍
wqme	夅
wqho	詼
wqq/	珛 詴
wqvi	鄔
wxpa	瑮
wxtu	諲
wxna	珒
wxke	訌 玒
wxhe	訬
wxxi	珝 詡
wxzo	譚
wxc.	𬍤
wxvo	詉
wzfo	詰
wzla	誌
wzle	訖
wzha	珤
wzja	瑫 謟
wzsi	許 玝
wcfo	詔 玿
wcqi	珬
wcvi	玵 詌
wspa	誄
wsme	夆 玤
wsfo	詁
wsq/	琑 誚
wsxo	珱
wsxe	珰
wssi	玸
wsri	詢 珣
wrpa	課
wrm.	瑥
wrla	認 恴
wrle	玪 訡
wrke	詚
wrj/	璟
wrqo	玠
wrxo	亰
wrzu	瑅 諟
wrs;	珍 診
wrri	琩 誯
wvd;	玮
wvgi	訍
wvq/	請
wvso	玩
wvw.	璈 謸
wwbi	瑟
wwpa	琹
wwfo	珞 詻
wwtu	註
wwgi	珏
wwqo	瑦
wwr.	珡
wwwo	譶
wwyo	玹 詃
wwyi	玟
wyfo	吝 珆 詒
wydo	刘
wyt;	畜
wyne	訩
wyn/	弃
wyla	忞
wyqo	齐
wyqi	瓱
wyq/	育
wyzi	这
wyc.	対
wyso	充 玧
wys;	彣
wyr.	亥
wyyi	訤
ybbi	肶
ybxo	胺
ybx/	脫
ybzu	腚
ybco	朌 肦 雰
ybsi	肸
ybri	脂
ybw.	夋
yppa	霖
ypmu	霜
ypdo	刹
ypsu	殺
ymba	貟
ymgi	卧
ymje	肥
yfpa	枲
yfme	肿
yfdo	刣
yfne	脶
yfla	怠
yfho	炱
yfje	乨
yfx.	辝
yfzi	迨
yfvi	邰
yfwa	瓵
yfw,	脭
ydpa	脒
ydmu	脜
ydfo	雼
ydt;	畚
ydna	胖
ydgi	肽
ydki	胼
ydje	肔
ydx/	脱
yds;	参 叁
ydvo	服
yttu	胿
ytla	腮
ytg/	霬
ytyo	胠
ynda	胦 雵
yngi	雭
ynqo	鴁
ynso	兇
ynr.	贠
ynvi	冑 𨚕
ylt;	霤
ylgi	廸
ylke	雴
ylhe	幼 肋
ylqo	臕
ylc.	胕
ylvi	肠
ylwo	霍 脽
ylyi	胶
ygbi	胒
ygpa	乗
ygfo	腡
ygdo	划
ygd;	腳
ygtu	脏
ygg.	朖
ygqo	胇
ygxa	肵
ygzi	腿
ygri	腊
ygye	霸
ykpa	霂
ykt/	霘
ykg/	霟
ykje	甹
ykco	豚
ykso	尧
ykro	肺
yhfo	胋
yhfu	胅
yhna	牟
yhle	肍
yhgo	胪
yhho	腅
yhri	胉
yhvo	胜
yjso	霓 腉
yjr.	腴
yqfe	毴
yqho	脄
yqq/	肴
yqxo	毜
yqxi	毢
yqs;	毝
yqro	希
yqyo	肱
yxpa	秉
yxke	肛
yxxo	腰
yzm.	監
yzda	矣
yzle	肐
yzj.	鍳
yzxo	脮
yzc.	脟
ycvi	雸
ysbe	綼
ysb.	絊
yspi	紴
ysme	肨
ysm;	絻
ysfo	𦙶
ysfe	緋
ysf,	紡
ysta	紽
yst;	細
yst/	絧
ysne	納
ysge	緙
ysgu	綌
yshe	絗
ysje	糺
ysji	紀
ysju	絇
ysj/	綡
ysq;	紎 絟
ysq/	霄
ysxi	絤
yszu	絑
ysz.	縝
ysco	糿
yscu	絀
ysc;	紃
ysc.	紂
ysso	約
yssi	胞 雹
yssu	糾
yss.	紳
ysr.	紉
ysvo	肢
ysvi	重 肳
ysw;	紈
ysya	紬
yrpa	腂
yrm.	腽
yrne	腢
yrle	肣
yrke	胆
yrje	電
yrs;	胗
yvtu	堅
yvna	掔
yvgi	肞
yvje	雩 肟
yvj.	鋻
yvqo	肼
yvq/	腎 腈
yvxo	䏡 婜
yvx.	霹
yvso	朊
yvyo	雲
ywfo	胳
ywto	肮
ywyo	胘
ywyi	雯
yypa	脎
yyfo	胎
yyno	鹏
yyn/	腗
yyho	燛
yyqi	雮
yyxe	膤
yyw,	朢
yyyo	厽
bbbb	窽
bbfm	窜
bbfn	窝
bbfj	窥
bbfs	窺
bbfy	蜜
bbdb	毙
bbdp	粊
bbdq	窯
bbdx	窭 竂
bbdz	邃
bbds	窲
bbtt	窐
bbtj	竃
bbtx	竈
bbnt	寗
bbnq	窵 鴪
bblb	竉
bbld	窌
bblt	窱
bblh	穷
bblr	窨
bbly	窔
bbgf	窩
bbgg	窳
bbgc	窟
bbkd	窷
bbkt	窒 窪
bbkn	穻 窉 窏
bbkj	窀
bbkq	窢
bbkz	瘒
bbks	竀
bbhf	窖 竆
bbhd	窕
bbhn	竊 窂
bbhl	究 窸 窻
bbhg	窮 窆
bbhk	窗
bbhh	勓
bbhq	鶛
bbhz	窧
bbhr	皆
bbhw	竅
bbjd	窬
bbjg	穸
bbjj	窞
bbjy	竄 瘣
bbqh	穿
bbqq	鶟
bbqc	窃
bbxf	窘
bbxk	空
bbxj	窍
bbxq	鵼
bbzb	竇 窾
bbzh	窑 窰
bbzz	寲 癡
bbzv	窄
bbcq	窚
bbsp	窼
bbsf	窹
bbsd	窦 窫
bbsn	窙
bbss	窇
bbrb	窤
bbrp	窠
bbrx	窶
bbvq	穽
bbvx	窛
bbvv	窿 窡
bbws	窣
bbyp	梥
bbyl	窓
bbyh	窈
bbyq	毞 竁
bmbx	癭
bmmb	賔
bmmv	瘝
bmmw	癯
bmtt	癦
bmld	宐
bmkd	寰 癏
bmjb	眞 顚
bmjl	鼏
bmjq	鷆
bmsb	潁
bmsk	寷
bmsr	颍
bffh	癌
bffs	癉
bfkh	宺
bfhf	宮
bfzd	瘯
bfrv	瘀
bdpx	瘘
bdmb	頃
bdmm	寕
bdmf	痞
bdmv	寝
bddx	療 寮
bdnc	寡
bdnr	顷
bdkm	寄
bdkn	痒
bdkg	癢
bdkk	瘥
bdhw	癥 癓
bdzw	癁
bdcd	冢 瘃
bdsp	皲
bdsv	郓
bdrj	痷
bdrz	瘲
bdrs	瘅
bttx	癳
btnq	鴧
bthy	瘋
btyx	瘰
bngb	痶
bnsk	痼
bnrx	瘿
blmm	寧 寜
blmq	鸋
bldr	宿
blnn	甯
blld	瘊
blgn	痛
blgs	癈
blkb	寵
blkl	癔
blkz	瘴
blks	寴
blkr	瘖
blhf	痂
blhr	瘸
blxv	寑
blzv	宱
blwn	鹤 寯
blwq	鶴 癄
bgmv	瘕
bgnp	痫
bggs	癜
bgxd	瘬
bgyb	癀
bkmb	賓 顮
bkfb	癩 瘶
bkfm	疴
bkfd	瘌
bkft	富 冨
bkfk	痘
bkfr	癞
bkfw	瘷
bkdt	瘗
bkgr	痍
bkkc	冡
bkhk	痖
bkhv	冣
bkqg	痡
bkxh	痧
bkxz	寁
bkxv	寖
bkzb	顐
bkzp	皸
bkzq	鶤
bkzz	運
bkzv	鄆
bkcl	癋
bkck	瘂
bksk	痙
bkrt	瘞
bkrl	寭 瘱
bkrk	宣
bkrx	翧
bkyb	寅
bkyt	室 痓
bkyg	戭
bhbb	賽
bhbp	寨
bhbm	骞
bhbd	褰
bhbt	塞
bhbn	搴 𬸣
bhbg	弿
bhbj	寋
bhbq	騫 鶱
bhbz	蹇
bhbr	赛
bhbv	寒
bhbw	謇
bhpb	穎 癪
bhpd	痢
bhpt	痜
bhpn	痵
bhpx	痿
bhpr	颖
bhmb	寊
bhml	瘪 瘜
bhmc	癟
bhdb	熲
bhdp	宷
bhdd	宨
bhdt	審
bhds	覾
bhdr	颎
bhts	宪
bhls	疩
bhgg	疺
bhhh	癆
bhjd	农
bhrb	冟
bhys	瘢
bjmd	瘓 寏
bjmr	癐
bjmv	瘦
bjnd	痪
bjlb	實
bjgd	剜
bjgn	鹓
bjgl	惌
bjgg	痑
bjgj	宛
bjgq	鵷
bjkn	癣
bjqd	瘉
bjqn	癬
bjql	癒
bjcw	癚
bjsq	寫 冩
bjvx	察 瘵
bjyb	魌
bjyn	魑
bjyg	魃 魎
bjyk	魖
bjyh	魐
bjyj	魍
bjyq	魈 魀 魆 魊 魕
bjyx	鬿 魒
bjys	魁 鬽 魓
bjyr	魉
bjyv	鬾
bjyw	魅 魋
bqbg	宠
bqmh	疨
bqjg	疣 痝
bqcd	癑
bqyx	翝
bxmt	癅
bxfj	宧
bxdb	頞
bxnq	鴳
bxlf	痦
bxhf	宭
bxjd	痮
bxjg	疷
bxjr	痻
bxxs	寥 瘳
bxvx	瘭
bzmv	痄
bzdb	癲 欵 顁
bzdf	痴
bzdn	肄
bzdj	觺
bzdz	疑
bzdr	癫
bzhq	寪
bzjd	癤
bzjg	痗
bzrd	痸
bcbh	痨
bcmb	貧
bcmg	寬
bcms	寛
bcfb	兺
bcfy	蚠
bcdb	頒
bcdr	颁
bcnq	鳻
bcnr	贫
bclh	疬
bclq	宬
bckj	疶
bckv	瘽
bckw	癱
bchm	癧
bcjf	瘩
bcsf	瘔
bcsj	瘎
bcrd	寞 瘼
bcrn	癘
bcrr	冪
bcvd	宸
bsmf	害
bsmd	割 瘈
bsml	憲 瘛
bsmg	豁
bsmq	駂 鶷
bsms	沊
bsfw	癰
bsdp	寱
bsdf	寤
bsdn	寎
bsdv	寢
bsdw	寐 寣
bsnq	鴆 鴇
bshk	匘
bsqn	宯 痚
bsqr	瘏
bsxv	寂
bsrq	瘠
brfx	寠 瘻
brdr	幂
brnq	鴲
brlj	疮
brlx	鼆
brls	覭
brlv	鄍
brkv	瘍
brxf	瘡
brsv	痬
brrt	痤
bvdh	宻
bvlw	瘫
bvgy	瘙
bvkm	痾
bvjl	瘾
bvxb	賨 頴
bvxk	痉
bvxh	崈
bvxq	鶎
bvxr	颕
bvzl	癮
bvsp	寇 冦
bvsq	鵍
bvsx	宼
bvsc	冠
bvry	癊
bvvr	癎
bvvy	癇
bvwv	癃
bwfb	額
bwfl	愙
bwfj	鄨
bwfz	蹩
bwfr	额
bwfy	蟞
bwdb	斃
bwdv	癠
bwnq	鷩
bwnx	鼈
bwhp	癛
bwhk	龞
bwhx	癝
bwjb	寳
bwjk	鳖
bwjq	鱉
bwzb	寶
bwzh	寚
bwrs	瘁
bwvw	癕
bwww	癍
bwyn	癴
bwyr	痎 癵
bybw	痠
bymj	爸
bydb	頌
byds	瘆
bydr	颂
bylw	癨
bygk	釜
bygx	斧
bykv	爺
byjg	爹
byxb	顈
byxn	鹟
byxh	勜
byxq	鶲
byxx	翁
bysq	毤
bysv	瘇
byys	瘮
pbbp	棎
pbbt	梐
pbbk	椌
pbbh	樒
pbbr	楷
pbbv	榨
pbby	櫁
pbmb	槇
pbdm	槣
pbns	椬
pblm	檸
pbln	橣
pblr	樎
pblw	榷
pbkb	檳
pbkm	柠
pbkt	榁
pbkk	楦
pbkj	枍
pbkz	楎 皹
pbkc	榢
pbjj	椀
pbjx	檫
pbjs	櫆
pbjy	槐
pbqb	槟
pbzd	槉
pbcp	椕
pbsl	櫶
pbrl	榠
pbvx	棕
pbvs	梡
pbwf	楁
pbyl	棇
ppbt	棾
ppbc	棼
pppz	檚
ppdb	櫇
ppty	檒
pplz	楚
ppgg	椘
ppkv	樷
ppjg	梦
ppcd	辳
pprl	棽
pprk	楂
ppvx	禁
pmbx	櫻 橴
pmmv	欔
pmmw	欋
pmfy	鿝
pmtg	檡
pmkd	檈
pmjl	檙
pmjg	椤
pmcq	檅
pmyw	欏
pfms	槻
pffb	櫕
pffp	橾
pffm	梙
pfff	榀 楍
pffl	槵
pffs	樿
pffw	欕
pfkh	楫
pfkj	枵
pfkq	檝
pfzm	檹
pfzj	椸
pfsb	樻
pfrv	棜
pfyy	螙
pdpm	橉
pdpx	楼
pdmb	頗
pdmf	桮
pdmg	杯
pdmk	柸
pdms	栤
pdmr	橧
pdmw	榎
pdfh	椦
pdfj	棬
pddx	橑
pddz	檤
pdtt	楏
pdnr	颇
pdnv	栭
pdnw	櫌
pdgm	栦
pdgh	梯
pdkm	椅 椼 榏
pdkf	橏
pdkd	栚 椾
pdkn	样
pdkk	槎 椪
pdkh	槏
pdkj	檶
pdkz	檖
pdxd	橂
pdxc	樽
pdxv	楢
pdcd	椓
pdsz	梿
pdss	様
pdrz	樅
pdrs	椫
pdvm	桁
pdvg	槬
pdvj	桍
pdwb	檨
pdwq	榚 檥
pdws	樣
ptbw	棱 槸
ptfd	榬
ptdz	橽
pttt	櫑
pttx	欙
ptts	橈
ptkd	椳
pthy	楓
ptjv	榸
ptzq	樾
ptrq	楐
ptym	榼
ptyx	樏
pnpk	梱
pnfd	欜
pndk	栶
pndh	棡
pndj	棢
pntf	椆
pnnk	栅
pngb	椣
pnkg	桺
pnkk	槶 檲
pnhk	棞
pnsb	椇
pnsg	梂
pnsk	柶 棝
pnrm	榲
pnrx	樱
pnvm	楹
pnwk	椢
plbf	榜
plbs	桦
plbr	楴
plmb	橮
plmt	樤
plmk	極
plmq	樇
plfp	椺
pldm	榌
pltt	橻
plnf	樀
plnx	槂
plnv	梛
pllw	櫦
plgp	楙 楺
plgm	杼
plgf	橘
plgd	楑
plgt	壄 櫈
plgn	桶
plgl	懋
plgk	橙
plgq	梻
plgx	櫲
plgz	樋
plgc	柕
plgs	橃
plkb	櫳
plkp	榇
plkf	柌 棓
plkl	檍
plkj	槞
plkq	樴
plkx	椄
plkz	樟
plks	樈 櫬
plkv	橦
plkw	橄
plky	楩
plhf	枷
plhd	柳
plhh	栛
plhz	栣
plzq	楈
plcs	楌
plsm	椲
plvs	椂
plwn	槜 檇
plwq	樵
plws	榫
plwv	欆
plyg	栰
pgmn	樨
pgmg	枛
pgmv	椵
pgmy	欘
pgfz	檛
pgdd	榒
pgnf	榈
pglf	梮
pgln	樼
pglc	椨
pgls	栐 櫠
pggb	櫎
pggf	椖
pggd	榐
pggj	槴
pggq	棙
pggc	楄
pgkt	楃
pgkj	梔 栀 栃
pgkz	檋
pght	榹
pghg	榳
pgjv	榔
pgjy	樃
pgqw	橵
pgxb	櫍
pgxp	椞
pgxm	槦
pgxf	榶
pgxl	惁
pgxs	槺
pgxr	皙 晳 椩
pgxy	蜤
pgzq	鶐
pgzc	櫥
pgcq	樜
pgsm	楯
pgsf	椐
pgsq	榍
pgsr	𬃊
pgyb	横
pgyq	梶
pkby	檷
pkmp	楝
pkfb	樕 櫴
pkfp	梀
pkfm	柯
pkfd	楋
pkft	楅
pkfk	梪
pkfj	櫃 樞 榧
pkfq	棫
pkdp	梾
pkdd	𬂩
pkds	枰
pktk	橿
pknp	栜
